"Study Name","405051_0035_20260512_000002 NBeltLineRd-NorthwestDr"
"Start Date","05/12/2026"
"Start Time","7:00 AM"
"Site Code",""
"",""
"",""
"",""
"",""

"Lights"
"","Southbound","","","","Westbound","","","","Northbound","","","","Eastbound","","","",""
"","SB N Belt Line Rd","","","","WB Private Driveway","","","","NB N Belt Line Rd","","","","EB Northwest Dr","","","",""
"Start Time","Left","Thru","Right","U-Turn","Left","Thru","Right","U-Turn","Left","Thru","Right","U-Turn","Left","Thru","Right","U-Turn",""
"12:15 PM","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12:30 PM","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0",""
"12:45 PM","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",""
"4:00 PM","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",""
"4:15 PM","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"4:30 PM","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0",""
"4:45 PM","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0",""
"5:00 PM","0","3","0","0","0","0","0","0","0","5","0","0","0","0","0","0",""
"5:15 PM","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0",""
"5:30 PM","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0",""
"5:45 PM","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
